Fund_id,Project_id,Donor_num,Cum_amount,Target_amount
794,53588291143395186XU10038,1659,84214.66,190000.00 
794,53285147679161254GU32602,1160,59582.78,190000.00 
794,53909014617995713ZI14634,781,6269.66,100000.00 
212,53598113707917499LF45925,12917,575019.8,990000.00 
212,53905218608379888WS77592,3632,49423.43,858000.00 
212,53293178088030357LF21679,1216,16208.64,200860.00 
212,53769509938207953EX47607,2605,11121.42,440000.00 
212,53626199401831082WW52070,239,592.59,866500.00 
212,53330006163500161CD32791,1835,33408.39,248402.00 
212,53599187899582473MY79567,14049,812722.82,1040000.00 
212,53533754805076523XZ52268,1951,11033.07,29364.00 
212,53597864269356141QF28158,245,2368.36,200000.00 
212,53454649476343574ZZ13698,138,612.55,220000.00 
888,53472325675493257VA91252,545,4220.96,150000.00 
878,53897619496161904IT13328,791,50962.7,490666.00 
131,53323361703844737OC87372,684,5614.45,550000.00 
537,53846138285652427YP32597,505,3977.02,150000.00 
537,53340324960224125IJ78671,357,2686.9,200000.00 
543,53847660586033552ET33589,1685,15713.21,5000000.00 
980,53261039661620809YZ89264,544,5226.38,60000.00 
878,53202252097141128JM15457,579,2607.55,60000.00 
963,53966927321316215CA39685,559,2484.13,90000.00 
980,53142280223217061MF74949,361,2016.94,180000.00 
827,53240528386292874RC91719,600,12723.24,265060.00 
528,53694102923515094OD47491,467,467.96,66667.00 
426,53479112495391432QZ99920,93,494.4,850000.00 
776,53447440878723419MJ19070,467,13160.08,105100.00 
752,53958373807706198VQ19921,779,1616.1,51500.00 
755,53189624352316764RY15966,814,16007.94,190000.00 
747,53155055121864631FC14754,8,8176,0.00 
794,53634651762822127RK33008,2590,73969.1,1033333.00 
134,53848245754699378MN51588,1796,13442.09,150000.00 
134,53602836902887994ZM87182,907,4220.12,110000.00 
794,53204935619696520DA58660,3991,25356.86,500000.00 
210,53437517966263455WG61407,6262,46831.97,1052632.00 
737,53813619821479576AQ83167,1680,39630.04,143944.00 
941,53531856181726494ZE10031,3210,29743.93,100000.00 
794,53613040424993511RE71786,3847,37968.04,200000.00 
737,53377647068129311SK12935,2227,21009.88,793478.00 
794,53839265489591939SZ53364,2215,16308.36,50000.00 
794,53852703936113429RQ24981,3157,7061.8,393300.00 
